"id";"lang";"label";"type";"code"
"Q15";"fr";"Afrique";"cont";"CO_AFR"
"Q828";"fr";"Amérique";"cont";"CO_AMR"
"Q48";"fr";"Asie";"cont";"CO_ASI"
"Q46";"fr";"Europe";"cont";"CO_EUR"
"Q538";"fr";"Océanie";"cont";"CO_OCE"
"Q51";"fr";"Antarctique";"cont";"CO_ANT"
"Q5401";"fr";"Eurasie";"cont";"CO_ERA"
"Q60140";"fr";"s.cont.indien";"cont";"CO_ASI_ind"
"Q27433";"fr";"Afrique centrale";"cont";"CO_AFR_centr"
"Q27407";"fr";"Afrique de l'Est";"cont";"CO_AFR_east"
"Q27381";"fr";"Afrique du Nord";"cont";"CO_AFR_north"
"Q4412";"fr";"Afrique de l'Ouest";"cont";"CO_AFR_west"
"Q210682";"fr";"AOF";"cont";"CO_AFR_frenc"
"Q132959";"fr";"Afrique subs.";"cont";"CO_AFR_ssahr"
"Q27394";"fr";"Afrique australe";"cont";"CO_AFR_south"
"Q27611";"fr";"Amérique centrale";"cont";"CO_AMR_centr"
"Q12585";"fr";"Amérique latine";"cont";"CO_AMR_latin"
"Q49";"fr";"Amérique du Nord";"cont";"CO_AMR_north"
"Q2017699";"fr";"Amérique sept.";"cont";"CO_AMR_north"
"Q18";"fr";"Amérique du Sud";"cont";"CO_AMR_south"
"Q27275";"fr";"Asie centrale";"cont";"CO_ASI_centr"
"Q27231";"fr";"Asie de l'Est";"cont";"CO_ASI_east"
"Q12824780";"fr";"Asie mineure";"cont";"CO_ASI_minor"
"Q27293";"fr";"Asie de l'Ouest";"cont";"CO_ASI_south_west"
"Q771405";"fr";"Asie du Sud";"cont";"CO_ASI_south"
"Q11708";"fr";"Asie du Sud-Est";"cont";"CO_ASI_south_east"
"Q27509";"fr";"Europe centrale";"cont";"CO_EUR_centr"
"Q900636";"fr";"Europe centr. et ori.";"cont";"CO_EUR_centr_east"
"Q16389571";"fr";"Europe médiane";"cont";"CO_EUR_east"
"Q27468";"fr";"Europe de l'Est";"cont";"CO_EUR_east_centr"
"Q27479";"fr";"Europe du Nord";"cont";"CO_EUR_north"
"Q27496";"fr";"Europe de l'Ouest";"cont";"CO_EUR_west"
"Q27449";"fr";"Europe du Sud";"cont";"CO_EUR_south"
"Q263686";"fr";"Europe du Sud-Est";"cont";"CO_EUR_south_east"
"Q66065";"fr";"Sahel";"land";"LA_sahel"
"Q6583";"fr";"Sahara";"land";"LA_sahara"
"Q2841453";"fr";"Amazonie";"land";"LA_amazon"
"Q5456";"fr";"Andes";"land";"LA_anden"
"Q1286";"fr";"Alpes";"land";"LA_alpen"
"Q5463";"fr";"Rocheuses";"land";"LA_rocky"
"Q18869";"fr";"Caucase";"land";"LA_cauca"
"Q5451";"fr";"Himalaya";"land";"LA_himal"
"Q23522";"fr";"Balkans";"land";"LA_balka"
"Q503282";"fr";"Machrek";"land";"LA_maghr"
"Q28227";"fr";"Maghreb";"land";"LA_mashr"
"Q7204";"fr";"Moyen-Orient";"land";"LA_east_middle"
"Q48214";"fr";"Proche-Orient";"land";"LA_east_near"
"Q21195";"fr";"Scandinavie";"land";"LA_scand"
"Q664609";"fr";"Caraïbes";"sea";"SE_carai"
"Q166131";"fr";"Antilles";"sea";"SE_antil"
"Q93259";"fr";"Petites Antilles";"sea";"SE_antil_small"
"Q128011";"fr";"Grandes Antilles";"sea";"SE_antil_great"
"Q37394";"fr";"Mélanésie";"sea";"SE_melan"
"Q35942";"fr";"Polynésie";"sea";"SE_polyn"
"Q3359409";"fr";"Micronésie";"sea";"SE_micro"
"Q97";"fr";"océan Atlantique";"sea";"SE_atlan"
"Q98";"fr";"océan Pacifique";"sea";"SE_pacif"
"Q1239";"fr";"océan Indien";"sea";"SE_india"
"Q37660";"fr";"Mer de Chine S.";"sea";"SE_china_south"
"Q45341";"fr";"Mer de Chine E.";"sea";"SE_china_east"
"Q4918";"fr";"Méditerranée";"sea";"SE_medit"
"Q34675";"fr";"Golfe Persique";"sea";"SE_persi"
"Q166";"fr";"Mer Noire";"sea";"SE_black"
"Q25322";"fr";"Arctique";"sea";"SE_arcti"
"Q1070940";"fr";"Asie-Pacifique";"cont";"CO_ASI_pacif"
"Q2271241";"fr";"Euroméditerranée";"cont";"CO_EUR_medit"
"Q7159";"fr";"Union africaine";"org";"OR_AfrUn"
"Q7172";"fr";"Ligue arabe";"org";"OR_ArLig"
"Q7768";"fr";"ASEAN";"org";"OR_Asean"
"Q776874";"fr";"ACD";"org";"OR_ACD"
"Q170481";"fr";"APEC";"org";"OR_APEC"
"Q1147937";"fr";"ACS";"org";"OR_ACS"
"Q795985";"fr";"Bengal init.";"org";"OR_Benga"
"Q2655795";"fr";"Conseil brit.-irl";"org";"OR_BrIri"
"Q96053693";"fr";"Bucarest-9";"org";"OR_Buc9"
"Q205995";"fr";"CARICOM";"org";"OR_Caric"
"Q190028";"fr";"CAIS";"org";"OR_CAIS"
"Q7779";"fr";"CEI";"org";"OR_CIS"
"Q7785";"fr";"Commonwealth";"org";"OR_comwl"
"Q1045401";"fr";"CLACS";"org";"OR_CLACS"
"Q8908";"fr";"Conseil de l'Europe";"org";"OR_CoEur"
"Q20036753";"fr";"Craiova";"org";"OR_Craio"
"Q337456";"fr";"Com Afrique de l'Est";"org";"OR_EAC"
"Q193272";"fr";"CEDEAO";"org";"OR_ECWAS"
"Q225950";"fr";"OCE";"org";"OR_ECO"
"Q4173083";"fr";"Union éco. eurasiatique";"org";"OR_EEU"
"Q458";"fr";"Union européenne";"org";"OR_EU"
"Q62005941";"fr";"Prosur";"org";"OR_XXX"
"Q326816";"fr";"GUAM";"org";"OR_Guam"
"Q217172";"fr";"Cons. de coop. du Golfe";"org";"OR_CCASG"
"Q2297691";"fr";"As. des États riv. de l'océan Indien";"org";"OR_IORA"
"Q499151";"fr";"Parlement latino-américain";"org";"OR_LAP"
"Q97994672";"fr";"Triangle de Lublin";"org";"OR_Lubli"
"Q1918937";"fr";"Groupe mélanésien";"org";"OR_Melan"
"Q4264";"fr";"MERCOSUR";"org";"OR_Merco"
"Q7184";"fr";"OTAN";"org";"OR_NATO"
"Q146165";"fr";"Conseil nordique";"org";"OR_Norco"
"Q123759";"fr";"Org. des États Améric.";"org";"OR_OAS"
"Q757276";"fr";"Forum des îles du Pacifique";"org";"OR_PIF"
"Q3117794";"fr";"Groupe des dirigeants polynésiens";"org";"OR_Polyn"
"Q11523819";"fr";"RCEP";"org";"OR_RCEP"
"Q485207";"fr";"Org. de coop. de Shanghai";"org";"OR_Shang"
"Q145700";"fr";"SAARC";"org";"OR_SAARC"
"Q3935730";"fr";"TAKM";"org";"OR_TAKM"
"Q32069506";"fr";"Initiative des trois mers";"org";"OR_3seas"
"Q13231715";"fr";"Trilaterale";"org";"OR_Trila"
"Q596850";"fr";"Conseil turcique";"org";"OR_TurCo"
"Q4230";"fr";"Union des nations sud-améric.";"org";"OR_USAN"
"Q244323";"fr";"groupe de Visegrád";"org";"OR_Viseg"
"Q1642145";"fr";"Conseil nordique occidental";"org";"OR_WNC"
"Q889";"fr";"Afghanistan";"sta";"AFG"
"Q916";"fr";"Angola";"sta";"AGO"
"Q222";"fr";"Albanie";"sta";"ALB"
"Q228";"fr";"Andorre";"sta";"AND"
"Q878";"fr";"EAU";"sta";"ARE"
"Q414";"fr";"Argentine";"sta";"ARG"
"Q399";"fr";"Arménie";"sta";"ARM"
"Q781";"fr";"Antigua-et-Barbuda";"sta";"ATG"
"Q408";"fr";"Australie";"sta";"AUS"
"Q40";"fr";"Autriche";"sta";"AUT"
"Q227";"fr";"Azerbaïdjan";"sta";"AZE"
"Q967";"fr";"Burundi";"sta";"BDI"
"Q31";"fr";"Belgique";"sta";"BEL"
"Q962";"fr";"Bénin";"sta";"BEN"
"Q965";"fr";"Burkina Faso";"sta";"BFA"
"Q902";"fr";"Bangladesh";"sta";"BGD"
"Q219";"fr";"Bulgarie";"sta";"BGR"
"Q398";"fr";"Bahreïn";"sta";"BHR"
"Q778";"fr";"Bahamas";"sta";"BHS"
"Q225";"fr";"Bosnie-Herzégovine";"sta";"BIH"
"Q184";"fr";"Biélorussie";"sta";"BLR"
"Q242";"fr";"Belize";"sta";"BLZ"
"Q750";"fr";"Bolivie";"sta";"BOL"
"Q155";"fr";"Brésil";"sta";"BRA"
"Q244";"fr";"Barbade";"sta";"BRB"
"Q921";"fr";"Brunei";"sta";"BRN"
"Q917";"fr";"Bhoutan";"sta";"BTN"
"Q963";"fr";"Botswana";"sta";"BWA"
"Q929";"fr";"République centrafricaine";"sta";"CAF"
"Q16";"fr";"Canada";"sta";"CAN"
"Q39";"fr";"Suisse";"sta";"CHE"
"Q298";"fr";"Chili";"sta";"CHL"
"Q148";"fr";"Chine (R.P.)";"sta";"CHN"
"Q1008";"fr";"Côte d'Ivoire";"sta";"CIV"
"Q1009";"fr";"Cameroun";"sta";"CMR"
"Q974";"fr";"RD Congo";"sta";"COD"
"Q971";"fr";"Rép. du Congo";"sta";"COG"
"Q739";"fr";"Colombie";"sta";"COL"
"Q970";"fr";"Comores";"sta";"COM"
"Q1011";"fr";"Cap-Vert";"sta";"CPV"
"Q800";"fr";"Costa Rica";"sta";"CRI"
"Q241";"fr";"Cuba";"sta";"CUB"
"Q229";"fr";"Chypre";"sta";"CYP"
"Q213";"fr";"Tchéquie";"sta";"CZE"
"Q183";"fr";"Allemagne";"sta";"DEU"
"Q977";"fr";"Djibouti";"sta";"DJI"
"Q784";"fr";"Dominique";"sta";"DMA"
"Q35";"fr";"Danemark";"sta";"DNK"
"Q786";"fr";"Rép. dominicaine";"sta";"DOM"
"Q262";"fr";"Algérie";"sta";"DZA"
"Q736";"fr";"Équateur";"sta";"ECU"
"Q79";"fr";"Égypte";"sta";"EGY"
"Q986";"fr";"Érythrée";"sta";"ERI"
"Q29";"fr";"Espagne";"sta";"ESP"
"Q191";"fr";"Estonie";"sta";"EST"
"Q115";"fr";"Éthiopie";"sta";"ETH"
"Q33";"fr";"Finlande";"sta";"FIN"
"Q712";"fr";"Fidji";"sta";"FJI"
"Q142";"fr";"France";"sta";"FRA"
"Q702";"fr";"Micronésie";"sta";"FSM"
"Q1000";"fr";"Gabon";"sta";"GAB"
"Q145";"fr";"Royaume-Uni";"sta";"GBR"
"Q230";"fr";"Géorgie";"sta";"GEO"
"Q117";"fr";"Ghana";"sta";"GHA"
"Q1006";"fr";"Guinée";"sta";"GIN"
"Q1005";"fr";"Gambie";"sta";"GMB"
"Q1007";"fr";"Guinée-Bissau";"sta";"GNB"
"Q983";"fr";"Guinée équatoriale";"sta";"GNQ"
"Q41";"fr";"Grèce";"sta";"GRC"
"Q769";"fr";"Grenade";"sta";"GRD"
"Q774";"fr";"Guatemala";"sta";"GTM"
"Q734";"fr";"Guyana";"sta";"GUY"
"Q783";"fr";"Honduras";"sta";"HND"
"Q224";"fr";"Croatie";"sta";"HRV"
"Q790";"fr";"Haïti";"sta";"HTI"
"Q28";"fr";"Hongrie";"sta";"HUN"
"Q252";"fr";"Indonésie";"sta";"IDN"
"Q668";"fr";"Inde";"sta";"IND"
"Q27";"fr";"Irlande";"sta";"IRL"
"Q794";"fr";"Iran";"sta";"IRN"
"Q796";"fr";"Irak";"sta";"IRQ"
"Q189";"fr";"Islande";"sta";"ISL"
"Q801";"fr";"Israël";"sta";"ISR"
"Q38";"fr";"Italie";"sta";"ITA"
"Q766";"fr";"Jamaïque";"sta";"JAM"
"Q810";"fr";"Jordanie";"sta";"JOR"
"Q17";"fr";"Japon";"sta";"JPN"
"Q232";"fr";"Kazakhstan";"sta";"KAZ"
"Q114";"fr";"Kenya";"sta";"KEN"
"Q813";"fr";"Kirghizistan";"sta";"KGZ"
"Q424";"fr";"Cambodge";"sta";"KHM"
"Q710";"fr";"Kiribati";"sta";"KIR"
"Q763";"fr";"Saint-Christ.-et-Niévès";"sta";"KNA"
